,number of nodes in graph,Algo1 - number of links,Algo1 - communication cost,Algo1 - link utilization,Algo1 - Link fault tolerance,Algo2 - number of links,Algo2 - communication cost,Algo2 - link utilization,Algo2 - Link fault tolerance,Algo3 - number of links,Algo3 - communication cost,Algo3 - link utilization,Algo3 - Link fault tolerance,Algo4 - number of links,Algo4 - communication cost,Algo4 - link utilization,Algo4 - Link fault tolerance
0,12.0,13.0,3465.0,1.0,61.5384597778,11.0,3609.0,1.54545450211,0.0,18.0,3465.0,0.722222208977,100.0,20.0,9222.0,3.84999990463,100.0
5,12.0,12.0,227.0,1.0,25.0,11.0,227.0,1.18181812763,0.0,20.0,227.0,0.600000023842,100.0,20.0,611.0,4.55000019073,100.0
10,24.0,21.0,131.0,1.0,23.8095245361,20.0,143.0,1.20000004768,0.0,35.0,131.0,0.600000023842,100.0,44.0,401.0,7.68181800842,100.0
15,64.0,95.0,24608.0,1.0,83.1578979492,63.0,50283.0,4.68253946304,0.0,110.0,24608.0,0.863636374474,100.0,125.0,423165.0,32.672000885,100.0
20,64.0,89.0,26451.0,1.0,87.6404495239,63.0,88826.0,5.04761886597,0.0,100.0,26451.0,0.889999985695,100.0,125.0,481230.0,31.6159992218,100.0
25,128.0,180.0,26281.0,1.0,82.7777786255,127.0,96883.0,5.67716550827,0.0,207.0,26281.0,0.869565188885,100.0,253.0,892604.0,56.3083000183,100.0
30,4.0,4.0,290.0,1.0,75.0,3.0,360.0,1.66666662693,0.0,5.0,290.0,0.800000011921,100.0,5.0,360.0,1.39999997616,100.0
35,10.0,9.0,6203.0,1.0,0.0,9.0,6203.0,1.0,0.0,15.0,6203.0,0.600000023842,100.0,17.0,12951.0,2.64705872536,100.0
40,4.0,3.0,538.0,1.0,0.0,3.0,538.0,1.0,0.0,6.0,538.0,0.5,100.0,5.0,538.0,0.600000023842,100.0
